Month,Actual Food CPI,"ARIMA(2,2,2) Forecast",ARIMA Error,Naïve Forecast,Naïve Error,ARIMA % Error
December 2022,585.5588,582.1135,3.4453,473.5283,112.0305,0.5884
January 2023,597.674,594.9524,2.7216,481.1941,116.4799,0.4554
February 2023,608.97,608.8521,0.1179,490.1744,118.7956,0.0194
March 2023,621.4598,620.0196,1.4402,499.8728,121.587,0.2317
April 2023,634.5964,633.034,1.5624,509.8235,124.7729,0.2462
May 2023,648.4002,647.4937,0.9065,520.0609,128.3392,0.1398
June 2023,663.8294,661.8945,1.935,530.6782,133.1512,0.2915
July 2023,686.6548,678.6794,7.9754,541.4857,145.1692,1.1615
August 2023,713.0848,707.2213,5.8636,552.1567,160.9282,0.8223
September 2023,730.4619,739.8898,-9.4278,560.0672,170.3947,-1.2907
October 2023,744.4143,748.995,-4.5807,566.9019,177.5124,-0.6153
November 2023,762.3602,759.1508,3.2094,574.7867,187.5734,0.421
December 2023,782.9973,783.2292,-0.2319,585.5588,197.4385,-0.0296
January 2024,808.0235,804.45,3.5734,597.674,210.3495,0.4422
February 2024,838.5819,830.9509,7.631,608.97,229.6119,0.91
March 2024,868.797,864.8193,3.9776,621.4598,247.3371,0.4578
April 2024,890.6056,898.5679,-7.9623,634.5964,256.0092,-0.894
May 2024,911.0245,912.0128,-0.9883,648.4002,262.6244,-0.1085
June 2024,934.2299,934.8665,-0.6366,663.8294,270.4005,-0.0681
July 2024,957.3395,962.8956,-5.5561,686.6548,270.6846,-0.5804
August 2024,980.0646,983.9689,-3.9043,713.0848,266.9798,-0.3984
September 2024,1005.9317,1003.0252,2.9065,730.4619,275.4698,0.2889
October 2024,1035.4672,1028.8264,6.6408,744.4143,291.0529,0.6413
